code,"Description"
1,"Managers plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations, or of organizational units within them, and formulate and review their policies, laws, rules and regulations."
11,"Chief executives, senior officials and legislators formulate and review the policies and plan, direct coordinate and evaluate the overall activities of enterprises, governments and other organizations with the support of other managers."
111,"Legislators and senior officials determine, formulate, advise on and direct the implementation of policies of national, state, regional or local governments or communities, and of special interest organizations, They make, ratify, amend or repeal laws, public rules and regulations and plan, organize, direct, control and evaluate the overall activities of government departments and agencies, traditional communities and special interest organizations."
1111,"Legislators determine, formulate, and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations, They include elected and non-elected members of parliaments, councils and governments."
111101,"Represents the interests of people in a constituency as their elected member of a government authority."
111102,"Represents the interests of people in a constituency as their elected member to national government."
1112,"Senior government officials advise governments on policy matters, oversee the interpretation and implementation of government policies and legislation by government departments and agencies, represent their country abroad and act on its behalf, or carry out similar tasks in intergovernmental organizations, They plan, organize, direct, control and evaluate the overall activities of municipal or local, regional and national government departments, boards, agencies or commissions in accordance with legislation and policies established by government and legislative bodies."
111201,"Plans, organises, directs, controls and reviews the day-to-day operations and major functions of organisational units of the South African National Defence Force through subordinate officers."
111202,"Plans, organises, directs, controls and reviews the day-to-day operations and major functions within a division of the public service."
111203,"Plans, organises, directs, controls, reviews and oversees the interpretation and implementation of local government policies and legislation."
111204,"Plans, organises, directs, controls, reviews and oversees the interpretation and implementation of government policies and legislation."
111205,"Plans, organises, directs, controls and reviews the day-to-day operations and major functions of organisational units of the south African police and metro police services through subordinate officers."
111206,"Acts as an advocate for the public and investigates complaints and mediates fair settlements between parties."
111207,"Manages a department, providing direct support to the minister, through strategic leadership and within a designed strategic planning framework, whilst ensuring an integration of governance throughout the department."
1113,"Traditional chiefs and heads of villages perform a variety of legislative, administrative and ceremonial tasks and duties, determined by ancient traditions, as well as by the division of rights and responsibilities between village chiefs and the local, regional and national authorities."
111301,"Performs a variety of legislative, administrative and ceremonial tasks and duties, as determined by the community or village."
1114,"Senior officials of special-interest organizations determine, formulate and direct the implementation of policies of special-interest organizations, such as political-party organizations, trade unions, employers' organizations, trade and industry associations, humanitarian or charity organizations, or sports associations, and represent their organizations and act on their behalf."
111401,"Oversees the implementation of policies, rules and regulations of an organisation, directs its application and represent the organisation or act on its behalf."
111402,"Determines, formulates and direct the implementation of policies of trade unions, and represent their organization and act on its behalf."
111403,"Plans, organises, directs, controls, reviews the day to day operations and major functions including membership management recruitment and verification's) rallies and other functions of a political party through departmental managers and subordinates executives"
112,"Managing directors and chief executives formulate and review the policies and plan, direct, coordinate and evaluate the overall activities of enterprises or organizations (except special interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results."
1121,"Managing directors and chief executives formulate and review the policies and plan, direct coordinate and evaluate the overall activities of enterprises or organizations (except special interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results."
112101,"Determines, formulates and reviews the general policy program and the overall direction of an organisation, within the framework established by a board of directors or a similar governing body."
12,"Administrative and commercial managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy, planning, research and development, advertising, public relations, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations."
121,"Business services and administration managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy, planning, activities of organizations, or of enterprises that provide such services to other enterprises and organizations."
1211,"Finance managers plan, direct and coordinate the financial operations of an enterprise or organization, in consultation with senior managers and with managers of other departments or sections."
121101,"Plans, organises, directs, controls and coordinates the financial and accounting activities within an organisation."
121102,"Manages the payroll budget and directs the activities of payroll staff, monitors the payroll processing objectives including audits and legislative compliance."
121103,"Plans, organises, directs, controls, & coordinates the credit allocation, billing and settlement plan of clients."
121104,"Advises organisations on a systematic and disciplined approach to evaluate and improve the effectiveness of the organisations risk management, control and governance processes in accordance with the Internal Audit Charter."
1212,"Human resource managers, plan, direct and coordinate policies concerning the personnel, industrial relations and occupational health and safety activities of an enterprise or organization, or of enterprises that provide human resource services to other enterprises and organizations."
121201,"Plans, organises, directs, controls and coordinates human resource and workplace relations activities within an organisation."
121202,"Plans, directs, organises, controls and coordinates training policy, provides advice, training and administrative support to trainers and learners."
121203,"Develops and implements organisation's compensation strategy, May be appointed as trustee of the company's retirement fund."
121204,"Manages people and resources to ensure compliance and operational delivery of recruitment services."
121205,"Defines and manages a wellness strategy that is linked with and in support of department's hr strategy and coordinates the services and outputs of wellness practitioners in the execution of programmes and projects."
121206,"Manages, reviews and evaluates work environments and oversee the design of programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors."
121207,"Plans, organises, directs, controls and coordinates human resource and workplace relations activities within an organisation."
1213,"Policy and planning managers plan, organize, direct and coordinate policy advice and strategic planning activities within government or for non-government organizations and private sector agencies, or manage the activities of enterprises that provide policy and strategic planning services."
121301,"Plans, develops, organises, directs, controls and coordinates policy advice and strategic planning within organisations."
1219,"This unit group covers business services and administration managers not classified elsewhere in minor group 121, business services and administration managers, For instance, the group includes occupations such as facilities manager, cleaning services manager, administrative services manager."
121901,"Plans, organises, directs, controls and reviews the day-to-day operations and major functions of a commercial, industrial or other organisation (excluding government or local government) through departmental managers and subordinate executives."
121902,"Plans, organises, directs, controls and coordinates the overall administration of an organisation."
121903,"Manages physical assets throughout its lifecycle to ensure optimal return on investment."
121904,"Plans, organises, directs, controls and coordinates the contractual arrangements related to the implementation of programmes and projects."
121905,"Plans, organises, directs, controls and coordinates special programmes or projects."
121906,"Maintains relationship with and support franchise partners."
121908,"Plans, organises, directs, controls and coordinates the deployment of quality systems and certification processes within an organisation."
121909,"Plans, organises, directs, controls and coordinates sustainability or environment-related risk assessments,  develops methodologies to assess the viability or success of sustainability initiatives and the monitoring and evaluation thereof."
121910,"Plans, directs and coordinates the implementation, operation and maintenance of water and sanitation infrastructure"
122,"Sales, marketing and development managers plan, organize, direct, control and coordinate the advertising, public relations, research and development, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations."
1221,"Sales and marketing managers plan, direct and coordinate the sales and marketing activities of an enterprise or organization, or of enterprises that provide sales and marketing services to other enterprises and organizations."
122101,"Plans, organises, directs, controls and coordinates the sales and marketing activities of an organisation."
122102,"Plans, organises, directs, controls, analyses and coordinates the sales strategy activities and the organisational integration thereof."
122103,"Plans, organises, directs, controls, analyses and coordinates the marketing strategy activities and the organisational integration thereof."
122104,"Plan, organize, direct, control and evaluate the design, development and maintenance of interactive and direct marketing strategies, this includes internet and intranet sites to manage an organization's internet presence, public relations, communications and commercial activities."
122105,"Plans, administers and reviews customer services and after-sales services and maintains sound customer relations."
1222,"Advertising and public relations managers plan, direct and coordinate the advertising, public relations and public information activities of enterprises and organizations or of enterprises that provide related services to other enterprises and organizations."
122201,"Plans, organises, directs, controls and coordinates the advertising and public relations activities of an organisation."
1223,"Research and development managers plan, direct and coordinate the research and development activities of an enterprise or organization or of enterprises that provide related services to other enterprises and organizations."
122301,"Plans, organises, directs, controls and coordinate research and development activities within organisations."
13,"Production and specialised services managers plan direct and coordinate the production of the goods and the provision of the specialised professional and technical services provided by an enterprise or organization, They are responsible for manufacturing, mining, construction, logistics, information and communications technology operations, for large scale agricultural, forestry and fisheries operations, and for the provision of health, education, social welfare, banking, insurance and other professional and technical services."
131,"Production managers in agriculture, forestry and fisheries plan, direct, and coordinate production in large scale agricultural, horticultural, forestry aquaculture and fishery operations such as plantations, large ranches, collective farms and co-operatives to grow and harvest crops, breed and raise livestock, fish and shellfish and to catch and harvest fish and other forms of aquatic life."
1311,"Agricultural and forestry production managers plan, direct, and coordinate production in large scale agricultural, horticultural and forestry operations such as plantations, large ranches, collective farms and agricultural co-operatives to grow and harvest crops, and breed and raise livestock."
131101,"Plans, directs, and coordinates production in large scale agricultural and horticultural operations such as collective farms and agricultural co-operatives to grow and harvest crops."
131102,"Plans, organises, directs and controls the production activities of a forestry operation including physical and human resources."
131103,"Plans, organises, controls, leads, coordinates and reviews forestry activities of an organisation including physical and human resources."
1312,"Aquaculture and fisheries production managers plan, direct, and coordinate production in large scale aquaculture and fishery operations to catch and harvest fish and shellfish, and to grow fish shellfish or other forms of aquatic life, as cash crops or for release into freshwater or saltwater."
131201,"Plans, directs and controls farming operations to breed and raise fresh and saltwater fish and other aquatic stock."
132,"Manufacturing, mining, construction, and distribution managers plan, organize, and coordinate the manufacturing, mineral extraction, construction, supply, storage and transportation operations."
1321,"Manufacturing managers plan, direct, and coordinate manufacturing production activities of large enterprises or as the manager of a small manufacturing company."
132101,"Plans, organises, directs, controls and coordinates the operations of a small manufacturing establishment."
132102,"Plans, organises, directs and controls the manufacturing activities of an organisation including physical and human resources, Measures performance, quality and implements continuous improvement strategies."
132104,"Plans, organises, directs, controls and coordinates the design, operation and construction of engineering and process plants and mining operations."
132105,"Plans, directs and coordinates the work activities and resources of power generation and bio fuel plants."
132106,"Plants, organizes, directs, controls and coordinates the performance of the quality managements system, produce data and report on performance, measuring against set standards."
132107,"Applying quality expertise to direct and manage quality assurance activities
132108,"Measurement of product to specifications or tolerances."
132109,"Audit quality management systems to specified requirements."
1322,"Mining managers plan, direct, and coordinate the production activities of mining, quarrying and oil and gas extraction operations."
132201,"Plans, organises, directs and controls the production activities of a mining operation including physical and human resources."
132202,"Plans, organises, directs, controls and coordinates complex operational resources to establish optimal, economically viable and safe strategies and objectives to extract mineral resources from the earth, utilising appropriate engineering designs, mining and metallurgical processes, equipment and schedules that will accomplish these objectives and lead to the safe and productive recovery of mineral reserves and final product, in line with customer requirements."
132203,"Plans, organises, directs, controls and coordinates the rock engineering and related functions, including support, extraction sequences and infrastructure to ensure safe and optimal extraction of ore reserves on a mine."
1323,"Construction managers plan, direct and coordinate the construction of civil engineering projects, buildings and dwellings."
132301,"Plans, organises, directs, controls and coordinates construction of civil engineering and building projects, and the physical and human resources involved in the construction process."
132302,"Plans, organises, directs, controls and coordinates the construction, alteration and renovation of dwellings and other buildings, and the physical and human resources involved in building process."
1324,"Supply, distribution and related managers plan, direct and coordinate the supply, transportation, storage and distribution of goods."
132401,"Plans, administers and reviews the supply, storage and distribution of equipment, materials and goods used and produced by an organisation, enterprise or business."
132402,"Plans, directs, or coordinates purchasing, warehousing, distribution, forecasting, customer service, or planning services, Manages logistics personnel and logistics systems and directs daily operations."
132403,"Organises and controls the operations of an enterprise which operates a fleet of vehicles to transport goods and passengers."
132404,"Plans, directs, and coordinates the storage and distribution operations within an organization or the activities of organizations that are engaged in storing and distributing materials and products."
132405,"Organises the buying, selling and maintenance of vehicles and coordinates the usage thereof."
132406,"Organises and controls the operations of a railway station."
132407,"Plans, organises, directs, controls and coordinates the operations of a airport or harbour."
132408,"Plans, directs and coordinates the receipt, storage and out loading of grain stored in silos."
132409,"Plants, directs and coordinates the receipt, storage and distribution of fuel"
132410,"The Maritime Search and Rescue Mission Coordinator directs, organises and manages maritime search and rescue operations within the South African search and rescue region."
133,"Information and communications technology service managers plan, direct, and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems."
1331,"Information and communications technology service managers plan, direct, and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems."
133101,"Plans, organises, directs controls and coordinates the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities."
133102,"Plans, organises, directs, controls and coordinates quality accredited ICT projects, Accountable for day-to-day operations of resourcing, scheduling, prioritisation and task coordination, and meeting project milestones, objectives and deliverables within agreed timeframes and budget."
133103,"Plans, coordinates, and supervises all activities related to the design, development, and implementation of organizational data base systems."
133104,"Plans, coordinates, and supervises all activities related to the design, development, and implementation of organizational information systems and software applications."
133105,"Plans, coordinates, directs, and designs it-related activities of the organization, as well as provide administrative direction and support for daily operational activities of the it department."
133106,"Oversees the streamlined operation of the it department and ensures it aligns with the business objectives of the organization."
134,"Professional services managers plan, direct and coordinate the provision of childcare, health, welfare, education and other professional services, and manage the branches of institutions providing financial and insurance services."
1341,"Child care service managers plan, direct, and coordinate and evaluate the provision of care for children in before-school, after-school, vacation and day care centres and services."
134101,"Plans, organises, directs, controls and coordinates the activities of a child care centre or service."
1342,"Health service managers plan, direct coordinate and evaluate the provision of clinical and community health care services in hospitals, clinics, public health agencies and similar organizations."
134201,"Plans, organises, directs, controls and coordinates medical programs and clinical services in a hospital or other health service facility; maintains standards of medical care and provides leadership to ensure an appropriately skilled medical workforce and contributes to health service planning."
134202,"Plans, organises, directs, controls and coordinates nursing programs and clinical services in a hospital, aged care or other health service facility; maintains standards of nursing care and provides leadership to ensure an appropriately skilled nursing and contributes to health service planning."
134203,"Plans, organises, directs, controls and coordinates a primary health organisation which provides a broad range of out-of-hospital health services."
134204,"Plans, organises, directs, controls and coordinates secondary health services."
134205,"Plans, directs, coordinates and evaluates the provision of specialised health services in a clinics."
134206,"Maximize human physical performance to ensure elite sporting performance on a continuous basis to all sporting clients."
134207,"Manages specific community health programs from planning and design through implementation and evaluation."
1343,"Aged care service managers plan, direct coordinate and evaluate the provision of residential and personal care services for individuals and families who are in need of such services due to the effects of ageing."
134301,"Organises and controls the operation of accommodation establishments for people that need special care ."
1344,"Social welfare managers plan, direct, and coordinate the provision of social and community service programs such as income support, family assistance, children’s services and other community programs and services."
134401,"Plans, organises, directs, controls, leads, manages and coordinates a centre, program or project concerned with social services."
134402,"Ensures the effective coordination of integrated and transformative social development programs, delivered within an identified service delivery area in partnership with key stakeholders for the effective empowerment of communities."
134403,"Plans, organizes,directs,controls and coordinates child and youth care services in a service delivery are and/or organization"
1345,"Education managers plan, direct, coordinate and evaluate the educational and administrative aspects of education services, primary and secondary schools, colleges and faculties and departments in universities and other educational institutions."
134501,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of primary and secondary schools."
134502,"Plans, organises, directs, controls and coordinates the educational, training and administrative aspects of an FET college."
134503,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a department, faculty or school within a university or other tertiary education institution."
134504,"Plans, organises, directs, controls and coordinates educational approaches and policy, and curriculum resources and development for teachers and administrators."
134505,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a university or other tertiary education institution."
134506,"Plans, organises, directs, controls and coordinates the administrative aspects of a university or other tertiary education institution."
134507,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a department of a school."
1346,"Financial and insurance services branch managers plan, direct, and coordinate the branches of institutions that provide financial and insurance services, such as banks, building societies, credit unions and insurance companies, They provide advice and assistance to clients on financial and insurance matters."
134601,"Organises and controls the general operational activities of a branch of a bank or similar financial institution."
134602,"Organises and controls the general operational activities of a credit bureau or similar financial institution."
134603,"Organises and controls the general operational activities of a stock broking or similar financial institution."
1347,"Armed forces managers provide high level management to support the running of organisational, geographical and operational units and sections within the South African National Defence Force."
134701,"Plans, organises, directs, controls and reviews the day-to-day military operations and major functions of organisational units of the south African national defence force, Manage units other than combat units and act as staff officers to military commanders."
134702,"Train, prepare, employ, command and direct military capabilities, organised as formations or units, in military operations during war and peace for the defence of the territorial integrity and sovereignty of the RSA, to promote regional and continental peace, security and stability in support of government initiatives or to provide support to government departments."
134703,"Provides disciplinary, regulating and welfare services to ensure the smooth and effective running of the ship/unit."
1349,"This unit group covers managers who plan, direct coordinate and evaluate the provision of specialised professional and technical services and are not classified in sub-major group 12, business services and administration managers, or elsewhere in sub-major group 13, professional services managers, For instance, managers responsible for the provision of policing, corrective, library, legal and fire services are classified here."
134901,"Plans, organises, directs, controls and coordinates the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues such as pollution and waste treatment in compliance with environmental legislation and ensures corporate sustainable development."
134902,"Plans, organises, directs, controls and coordinates the operations of a research or production laboratory."
134903,"Manages, organises, and controls the operations and resources of a small or own business."
134904,"Organises and controls the functions and resources of offices such as administrative systems and office personnel."
134905,"Manages and controls the administrative component of the court."
134906,"Organises and manages the functions and resources of professional practices such as administrative systems and office personnel."
134907,"Manages and directs appraisal, editing, and safekeeping of permanent records and historically valuable documents."
134908,"Manages the selection, acquiring, cataloguing, classifying, circulating, and maintaining of library materials; and oversee the furnishing of reference, bibliographical, and readers' advisory services."
134909,"Manage and coordinate the preparation of specimens, such as fossils, skeletal parts, lace, and textiles, for museum collection and exhibits."
134911,"Manages, controls and audits the administration of insurance policies of existing businesses and specialist products."
134912,"Provides high level management to support the running of a geographical or operational section of a fire and rescue service."
134913,"Provides high level management to support the running of a geographical or operational section of the south African police services."
134914,"Manages security support services, corrections activities, finance services, corporate services and development and care services in a correctional facility."
134915,"Plans, organises, directs, controls and coordinates the operations activities of a non-manufacturing organisation including physical and human resources."
134916,"Plans, organises, controls, leads, coordinates and reviews the operations activities of a non-manufacturing organisation including physical and human resources."
134917,"Plans, organises, directs, controls and coordinates budgets, research and development activities within a publishing organisation and commissions Authors and Editors."
134918,"Plants, directs and coordinates the work activities and resources of water purification, recycling and distribution, Note: This is a Green Occupation"
134919,"Manages the implementation, monitoring, evaluation and reporting of outcomes associated with the delivery of public safety plans and programmes as well as procedures, systems and controls related to Traffic Control and Law Enforcement through the coordination of operations associated with the enforcement of Laws and By-laws and maintaining road safety and minimising risk of damage to property or loss of lives is limited"
